YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	7.385	7.606	7.458
1999	 5	 1	 2	7.067	7.319	7.150
1999	 5	 1	 3	6.839	6.973	6.883
1999	 5	 1	 4	7.559	7.062	7.395
1999	 5	 1	 5	11.011	9.241	10.426
1999	 5	 1	 6	12.591	10.643	11.947
1999	 5	 1	 7	14.525	12.684	13.916
1999	 5	 1	 8	16.186	14.538	15.641
1999	 5	 1	 9	17.363	15.820	16.853
1999	 5	 1	10	17.821	16.425	17.359
1999	 5	 1	11	17.918	16.619	17.489
1999	 5	 1	12	18.170	16.912	17.754
1999	 5	 1	13	17.354	16.316	17.011
1999	 5	 1	14	16.622	15.871	16.374
1999	 5	 1	15	15.741	15.425	15.636
1999	 5	 1	16	14.125	14.106	14.118
1999	 5	 1	17	14.169	13.968	14.103
1999	 5	 1	18	12.924	12.925	12.924
1999	 5	 1	19	10.916	11.289	11.040
1999	 5	 1	20	9.469	9.885	9.607
1999	 5	 1	21	10.299	10.213	10.271
1999	 5	 1	22	8.533	8.980	8.681
1999	 5	 1	23	8.963	8.947	8.958
1999	 5	 1	24	8.120	7.827	8.023
1999	 5	 2	 1	6.745	6.363	6.618
1999	 5	 2	 2	6.101	5.719	5.975
1999	 5	 2	 3	5.904	5.379	5.731
1999	 5	 2	 4	6.065	5.258	5.798
1999	 5	 2	 5	6.298	5.232	5.945
1999	 5	 2	 6	7.958	6.318	7.415
1999	 5	 2	 7	9.421	7.489	8.782
1999	 5	 2	 8	9.781	8.072	9.216
1999	 5	 2	 9	10.473	8.881	9.947
1999	 5	 2	10	11.538	9.854	10.982
1999	 5	 2	11	11.941	10.209	11.368
1999	 5	 2	12	11.845	10.202	11.302
1999	 5	 2	13	11.968	10.506	11.485
1999	 5	 2	14	11.237	10.131	10.871
1999	 5	 2	15	10.658	9.845	10.389
1999	 5	 2	16	8.813	8.379	8.670
1999	 5	 2	17	9.144	8.612	8.968
1999	 5	 2	18	7.913	7.692	7.840
1999	 5	 2	19	6.513	6.411	6.480
1999	 5	 2	20	5.506	5.428	5.480
1999	 5	 2	21	5.185	5.219	5.196
1999	 5	 2	22	5.056	5.102	5.071
1999	 5	 2	23	4.780	4.858	4.806
1999	 5	 2	24	4.904	4.973	4.927
1999	 5	 3	 1	4.772	4.856	4.799
1999	 5	 3	 2	4.513	4.541	4.522
1999	 5	 3	 3	3.028	3.506	3.186
1999	 5	 3	 4	5.892	5.278	5.689
1999	 5	 3	 5	9.661	7.679	9.006
1999	 5	 3	 6	12.538	10.178	11.758
1999	 5	 3	 7	13.947	11.777	13.229
1999	 5	 3	 8	14.200	12.549	13.654
1999	 5	 3	 9	14.283	12.788	13.789
1999	 5	 3	10	15.084	13.634	14.605
1999	 5	 3	11	15.170	13.725	14.692
1999	 5	 3	12	15.397	13.978	14.928
1999	 5	 3	13	15.259	14.223	14.916
1999	 5	 3	14	14.840	14.263	14.649
1999	 5	 3	15	14.110	13.740	13.987
1999	 5	 3	16	12.385	12.452	12.407
1999	 5	 3	17	12.417	12.253	12.363
1999	 5	 3	18	10.818	10.888	10.841
1999	 5	 3	19	8.741	8.828	8.770
1999	 5	 3	20	7.800	7.756	7.785
1999	 5	 3	21	7.320	7.384	7.341
1999	 5	 3	22	6.751	6.916	6.805
1999	 5	 3	23	5.850	6.018	5.906
1999	 5	 3	24	5.112	5.217	5.147
1999	 5	 4	 1	4.395	4.461	4.417
1999	 5	 4	 2	3.553	3.522	3.543
1999	 5	 4	 3	2.228	2.411	2.289
1999	 5	 4	 4	6.099	4.860	5.689
1999	 5	 4	 5	7.497	5.883	6.964
1999	 5	 4	 6	8.597	6.725	7.978
1999	 5	 4	 7	10.247	8.296	9.602
1999	 5	 4	 8	10.784	9.062	10.215
1999	 5	 4	 9	11.630	9.971	11.082
1999	 5	 4	10	12.518	10.859	11.970
1999	 5	 4	11	12.947	11.530	12.478
1999	 5	 4	12	12.744	11.652	12.383
1999	 5	 4	13	12.533	11.716	12.262
1999	 5	 4	14	12.689	11.974	12.453
1999	 5	 4	15	12.060	11.680	11.934
1999	 5	 4	16	10.339	10.254	10.311
1999	 5	 4	17	9.645	9.612	9.634
1999	 5	 4	18	8.731	8.638	8.700
1999	 5	 4	19	7.636	7.347	7.540
1999	 5	 4	20	7.115	6.509	6.915
1999	 5	 4	21	7.119	6.471	6.904
1999	 5	 4	22	6.549	6.061	6.388
1999	 5	 4	23	6.323	5.929	6.192
1999	 5	 4	24	5.769	5.545	5.695
1999	 5	 5	 1	5.275	5.146	5.232
1999	 5	 5	 2	4.708	4.641	4.686
1999	 5	 5	 3	5.723	5.358	5.602
1999	 5	 5	 4	6.620	5.959	6.402
1999	 5	 5	 5	7.429	6.341	7.069
1999	 5	 5	 6	8.927	7.251	8.373
1999	 5	 5	 7	10.190	8.114	9.503
1999	 5	 5	 8	10.703	8.568	9.997
1999	 5	 5	 9	11.426	9.328	10.732
1999	 5	 5	10	12.991	11.033	12.344
1999	 5	 5	11	13.112	11.564	12.600
1999	 5	 5	12	12.917	11.692	12.512
1999	 5	 5	13	12.590	11.699	12.295
1999	 5	 5	14	11.968	11.397	11.779
1999	 5	 5	15	11.483	11.304	11.424
1999	 5	 5	16	9.908	10.018	9.944
1999	 5	 5	17	8.834	8.898	8.855
1999	 5	 5	18	7.685	7.570	7.647
1999	 5	 5	19	6.420	6.136	6.326
1999	 5	 5	20	5.326	4.922	5.193
1999	 5	 5	21	4.963	4.576	4.835
1999	 5	 5	22	4.872	4.546	4.764
1999	 5	 5	23	5.022	4.620	4.889
1999	 5	 5	24	5.058	4.533	4.884
1999	 5	 6	 1	4.504	3.999	4.337
1999	 5	 6	 2	3.594	3.258	3.483
1999	 5	 6	 3	4.531	3.794	4.287
1999	 5	 6	 4	5.601	4.414	5.209
1999	 5	 6	 5	6.493	4.930	5.976
1999	 5	 6	 6	7.839	5.979	7.224
1999	 5	 6	 7	8.577	6.747	7.972
1999	 5	 6	 8	8.793	7.139	8.246
1999	 5	 6	 9	9.122	7.606	8.621
1999	 5	 6	10	9.546	7.998	9.034
1999	 5	 6	11	10.119	8.554	9.602
1999	 5	 6	12	10.472	9.001	9.986
1999	 5	 6	13	10.187	8.974	9.786
1999	 5	 6	14	9.874	8.754	9.504
1999	 5	 6	15	9.685	8.766	9.381
1999	 5	 6	16	9.595	8.836	9.344
1999	 5	 6	17	8.524	8.100	8.383
1999	 5	 6	18	6.850	6.821	6.841
1999	 5	 6	19	6.056	6.132	6.081
1999	 5	 6	20	5.319	5.431	5.356
1999	 5	 6	21	5.058	5.143	5.086
1999	 5	 6	22	5.051	5.080	5.061
1999	 5	 6	23	5.116	5.053	5.095
1999	 5	 6	24	4.931	4.748	4.870
1999	 5	 7	 1	4.363	4.242	4.323
1999	 5	 7	 2	4.045	3.893	3.995
1999	 5	 7	 3	4.749	4.210	4.571
1999	 5	 7	 4	6.747	5.490	6.332
1999	 5	 7	 5	7.631	5.942	7.072
1999	 5	 7	 6	8.785	6.679	8.089
1999	 5	 7	 7	8.968	6.928	8.294
1999	 5	 7	 8	9.897	7.706	9.172
1999	 5	 7	 9	10.026	8.062	9.377
1999	 5	 7	10	10.589	8.852	10.014
1999	 5	 7	11	11.417	9.834	10.894
1999	 5	 7	12	11.534	9.954	11.012
1999	 5	 7	13	12.384	10.720	11.834
1999	 5	 7	14	12.450	10.914	11.942
1999	 5	 7	15	11.907	10.536	11.453
1999	 5	 7	16	10.972	10.022	10.658
1999	 5	 7	17	9.514	8.984	9.339
1999	 5	 7	18	8.682	8.284	8.551
1999	 5	 7	19	8.773	8.023	8.525
1999	 5	 7	20	8.429	7.466	8.110
1999	 5	 7	21	7.880	6.713	7.494
1999	 5	 7	22	7.616	6.360	7.200
1999	 5	 7	23	6.446	5.405	6.102
1999	 5	 7	24	5.418	4.712	5.185
1999	 5	 8	 1	5.814	4.978	5.537
1999	 5	 8	 2	7.583	6.206	7.128
1999	 5	 8	 3	8.679	6.869	8.081
1999	 5	 8	 4	8.267	6.619	7.722
1999	 5	 8	 5	8.383	6.754	7.844
1999	 5	 8	 6	9.528	7.839	8.969
1999	 5	 8	 7	9.928	8.656	9.507
1999	 5	 8	 8	8.308	6.971	7.866
1999	 5	 8	 9	9.136	7.497	8.594
1999	 5	 8	10	10.710	8.815	10.083
1999	 5	 8	11	10.767	8.901	10.150
1999	 5	 8	12	11.443	9.278	10.727
1999	 5	 8	13	11.388	9.535	10.775
1999	 5	 8	14	9.533	8.375	9.150
1999	 5	 8	15	9.108	8.147	8.790
1999	 5	 8	16	9.986	9.055	9.678
1999	 5	 8	17	10.733	10.090	10.520
1999	 5	 8	18	10.656	10.021	10.446
1999	 5	 8	19	10.467	9.797	10.246
1999	 5	 8	20	10.155	9.462	9.926
1999	 5	 8	21	9.134	8.801	9.024
1999	 5	 8	22	8.287	8.189	8.255
1999	 5	 8	23	7.405	7.533	7.447
1999	 5	 8	24	6.492	6.759	6.580
1999	 5	 9	 1	5.962	6.150	6.024
1999	 5	 9	 2	5.128	5.309	5.188
1999	 5	 9	 3	5.410	5.293	5.371
1999	 5	 9	 4	7.674	6.645	7.334
1999	 5	 9	 5	10.051	8.275	9.464
1999	 5	 9	 6	12.158	10.047	11.460
1999	 5	 9	 7	13.462	11.393	12.778
1999	 5	 9	 8	14.064	12.295	13.479
1999	 5	 9	 9	14.726	13.101	14.189
1999	 5	 9	10	14.802	13.227	14.281
1999	 5	 9	11	15.516	13.959	15.001
1999	 5	 9	12	16.100	14.576	15.596
1999	 5	 9	13	16.339	14.888	15.859
1999	 5	 9	14	15.922	14.660	15.505
1999	 5	 9	15	15.271	14.379	14.976
