Durchfluss [mm/h]                  
YYYY MM DD HH  49.3 km²    15.4 km²
YYYY MM DD HH  5630650     5622180 
YYYY MM DD HH  5402070     5408430 
YYYY MM DD HH Ammelsdorf   Rehefeld
1991  5 18  7   999        999
1991  5 18  8   999        999
1991  5 18  9   999        999
1991  5 18 10   999        999
1991  5 18 11   999        999
1991  5 18 12   999        999
1991  5 18 13   999        999
1991  5 18 14   999        999
1991  5 18 15   999        999
1991  5 18 16   999        999
1991  5 18 17   999        999
1991  5 18 18   999        999
1991  5 18 19   999        999
1991  5 18 20   999        999
1991  5 18 21   999        999
1991  5 18 22   999        999
1991  5 18 23   999        999
1991  5 18 24   999        999
1991  5 19  1   999        999
1991  5 19  2   999        999
1991  5 19  3   999        999
1991  5 19  4   999        999
1991  5 19  5   999        999
1991  5 19  6   999        999
1991  5 19  7   999        999
1991  5 19  8   999        999
1991  5 19  9   999        999
1991  5 19 10   999        999
1991  5 19 11   999        999
1991  5 19 12   999        999
1991  5 19 13   999        999
1991  5 19 14   999        999
1991  5 19 15   999        999
1991  5 19 16   999        999
1991  5 19 17   999        999
1991  5 19 18   999        999
1991  5 19 19   999        999
1991  5 19 20   999        999
1991  5 19 21   999        999
1991  5 19 22   999        999
1991  5 19 23   999        999
1991  5 19 24   999        999
1991  5 20  1   999        999
1991  5 20  2   999        999
1991  5 20  3   999        999
1991  5 20  4   999        999
1991  5 20  5   999        999
1991  5 20  6   999        999
1991  5 20  7   999        999
1991  5 20  8   999        999
1991  5 20  9   999        999
1991  5 20 10   999        999
1991  5 20 11   999        999
1991  5 20 12   999        999
1991  5 20 13   999        999
1991  5 20 14   999        999
1991  5 20 15   999        999
1991  5 20 16   999        999
1991  5 20 17   999        999
1991  5 20 18   999        999
1991  5 20 19   999        999
1991  5 20 20   999        999
1991  5 20 21   999        999
1991  5 20 22   999        999
1991  5 20 23   999        999
1991  5 20 24   999        999
1991  5 21  1   999        999
1991  5 21  2   999        999
1991  5 21  3   999        999
1991  5 21  4   999        999
1991  5 21  5   999        999
1991  5 21  6   999        999
1991  5 21  7   999        999
1991  5 21  8   999        999
1991  5 21  9   999        999
1991  5 21 10   999        999
1991  5 21 11   999        999
1991  5 21 12   999        999
1991  5 21 13   999        999
1991  5 21 14   999        999
1991  5 21 15   999        999
1991  5 21 16   999        999
1991  5 21 17   999        999
1991  5 21 18   999        999
1991  5 21 19   999        999
1991  5 21 20   999        999
1991  5 21 21   999        999
1991  5 21 22   999        999
1991  5 21 23   999        999
1991  5 21 24   999        999
1991  5 22  1   999        999
1991  5 22  2   999        999
1991  5 22  3   999        999
1991  5 22  4   999        999
1991  5 22  5   999        999
1991  5 22  6   999        999
1991  5 22  7   999        999
1991  5 22  8   999        999
1991  5 22  9   999        999
1991  5 22 10   999        999
1991  5 22 11   999        999
1991  5 22 12   999        999
1991  5 22 13   999        999
1991  5 22 14   999        999
1991  5 22 15   999        999
1991  5 22 16   999        999
1991  5 22 17   999        999
1991  5 22 18   999        999
1991  5 22 19   999        999
1991  5 22 20   999        999
1991  5 22 21   999        999
1991  5 22 22   999        999
1991  5 22 23   999        999
1991  5 22 24   999        999
1991  5 23  1   999        999
1991  5 23  2   999        999
1991  5 23  3   999        999
1991  5 23  4   999        999
1991  5 23  5   999        999
1991  5 23  6   999        999
1991  5 23  7   999        999
