Durchfluss [mm/h]                  
YYYY MM DD HH  49.3 km²    15.4 km²
YYYY MM DD HH  5630650     5622180 
1991  5 23  8   999        999
1991  5 23  9   999        999
1991  5 23 10   999        999
1991  5 23 11   999        999
1991  5 23 12   999        999
1991  5 23 13   999        999
1991  5 23 14   999        999
1991  5 23 15   999        999
1991  5 23 16   999        999
1991  5 23 17   999        999
1991  5 23 18   999        999
1991  5 23 19   999        999
1991  5 23 20   999        999
1991  5 23 21   999        999
1991  5 23 22   999        999
1991  5 23 23   999        999
1991  5 23 24   999        999
1991  5 24  1   999        999
1991  5 24  2   999        999
1991  5 24  3   999        999
1991  5 24  4   999        999
1991  5 24  5   999        999
1991  5 24  6   999        999
1991  5 24  7   999        999
1991  5 24  8   999        999
1991  5 24  9   999        999
1991  5 24 10   999        999
1991  5 24 11   999        999
1991  5 24 12   999        999
1991  5 24 13   999        999
1991  5 24 14   999        999
1991  5 24 15   999        999
1991  5 24 16   999        999
1991  5 24 17   999        999
1991  5 24 18   999        999
1991  5 24 19   999        999
1991  5 24 20   999        999
1991  5 24 21   999        999
1991  5 24 22   999        999
1991  5 24 23   999        999
1991  5 24 24   999        999
1991  5 25  1   999        999
1991  5 25  2   999        999
1991  5 25  3   999        999
1991  5 25  4   999        999
1991  5 25  5   999        999
1991  5 25  6   999        999
1991  5 25  7   999        999
1991  5 25  8   999        999
1991  5 25  9   999        999
1991  5 25 10   999        999
1991  5 25 11   999        999
1991  5 25 12   999        999
1991  5 25 13   999        999
1991  5 25 14   999        999
1991  5 25 15   999        999
1991  5 25 16   999        999
1991  5 25 17   999        999
1991  5 25 18   999        999
1991  5 25 19   999        999
1991  5 25 20   999        999
1991  5 25 21   999        999
1991  5 25 22   999        999
1991  5 25 23   999        999
1991  5 25 24   999        999
1991  5 26  1   999        999
1991  5 26  2   999        999
1991  5 26  3   999        999
1991  5 26  4   999        999
1991  5 26  5   999        999
1991  5 26  6   999        999
1991  5 26  7   999        999
1991  5 26  8   999        999
1991  5 26  9   999        999
1991  5 26 10   999        999
1991  5 26 11   999        999
1991  5 26 12   999        999
1991  5 26 13   999        999
1991  5 26 14   999        999
1991  5 26 15   999        999
1991  5 26 16   999        999
1991  5 26 17   999        999
1991  5 26 18   999        999
1991  5 26 19   999        999
1991  5 26 20   999        999
1991  5 26 21   999        999
1991  5 26 22   999        999
1991  5 26 23   999        999
1991  5 26 24   999        999
1991  5 27  1   999        999
1991  5 27  2   999        999
1991  5 27  3   999        999
1991  5 27  4   999        999
1991  5 27  5   999        999
1991  5 27  6   999        999
1991  5 27  7   999        999
1991  5 27  8   999        999
1991  5 27  9   999        999
1991  5 27 10   999        999
1991  5 27 11   999        999
1991  5 27 12   999        999
1991  5 27 13   999        999
1991  5 27 14   999        999
1991  5 27 15   999        999
1991  5 27 16   999        999
1991  5 27 17   999        999
1991  5 27 18   999        999
1991  5 27 19   999        999
1991  5 27 20   999        999
1991  5 27 21   999        999
1991  5 27 22   999        999
1991  5 27 23   999        999
1991  5 27 24   999        999
1991  5 28  1   999        999
1991  5 28  2   999        999
1991  5 28  3   999        999
1991  5 28  4   999        999
1991  5 28  5   999        999
1991  5 28  6   999        999
1991  5 28  7   999        999
1991  5 28  8   999        999
1991  5 28  9   999        999
1991  5 28 10   999        999
1991  5 28 11   999        999
1991  5 28 12   999        999
1991  5 28 13   999        999
1991  5 28 14   999        999
1991  5 28 15   999        999
1991  5 28 16   999        999
1991  5 28 17   999        999
1991  5 28 18   999        999
1991  5 28 19   999        999
1991  5 28 20   999        999
1991  5 28 21   999        999
1991  5 28 22   999        999
1991  5 28 23   999        999
1991  5 28 24   999        999
1991  5 29  1   999        999
1991  5 29  2   999        999
1991  5 29  3   999        999
1991  5 29  4   999        999
1991  5 29  5   999        999
1991  5 29  6   999        999
1991  5 29  7   999        999
1991  5 29  8   999        999
1991  5 29  9   999        999
1991  5 29 10   999        999
1991  5 29 11   999        999
1991  5 29 12   999        999
1991  5 29 13   999        999
1991  5 29 14   999        999
1991  5 29 15   999        999
1991  5 29 16   999        999
1991  5 29 17   999        999
1991  5 29 18   999        999
1991  5 29 19   999        999
1991  5 29 20   999        999
1991  5 29 21   999        999
1991  5 29 22   999        999
1991  5 29 23   999        999
1991  5 29 24   999        999
1991  5 30  1   999        999
1991  5 30  2   999        999
1991  5 30  3   999        999
1991  5 30  4   999        999
1991  5 30  5   999        999
1991  5 30  6   999        999
1991  5 30  7   999        999
1991  5 30  8   999        999
1991  5 30  9   999        999
1991  5 30 10   999        999
1991  5 30 11   999        999
1991  5 30 12   999        999
1991  5 30 13   999        999
1991  5 30 14   999        999
1991  5 30 15   999        999
1991  5 30 16   999        999
1991  5 30 17   999        999
1991  5 30 18   999        999
1991  5 30 19   999        999
1991  5 30 20   999        999
1991  5 30 21   999        999
1991  5 30 22   999        999
1991  5 30 23   999        999
1991  5 30 24   999        999
1991  5 31  1   999        999
1991  5 31  2   999        999
1991  5 31  3   999        999
1991  5 31  4   999        999
1991  5 31  5   999        999
1991  5 31  6   999        999
1991  5 31  7   999        999
1991  5 31  8   999        999
1991  5 31  9   999        999
1991  5 31 10   999        999
1991  5 31 11   999        999
1991  5 31 12   999        999
1991  5 31 13   999        999
1991  5 31 14   999        999
1991  5 31 15   999        999
1991  5 31 16   999        999
1991  5 31 17   999        999
1991  5 31 18   999        999
1991  5 31 19   999        999
1991  5 31 20   999        999
1991  5 31 21   999        999
1991  5 31 22   999        999
1991  5 31 23   999        999
1991  5 31 24   999        999
1991  6  1  1   999        999
1991  6  1  2   999        999
1991  6  1  3   999        999
1991  6  1  4   999        999
1991  6  1  5   999        999
1991  6  1  6   999        999
1991  6  1  7   999        999
1991  6  1  8   999        999
1991  6  1  9   999        999
1991  6  1 10   999        999
1991  6  1 11   999        999
1991  6  1 12   999        999
1991  6  1 13   999        999
1991  6  1 14   999        999
1991  6  1 15   999        999
1991  6  1 16   999        999
1991  6  1 17   999        999
1991  6  1 18   999        999
1991  6  1 19   999        999
1991  6  1 20   999        999
1991  6  1 21   999        999
1991  6  1 22   999        999
1991  6  1 23   999        999
1991  6  1 24   999        999
1991  6  2  1   999        999
1991  6  2  2   999        999
1991  6  2  3   999        999
1991  6  2  4   999        999
1991  6  2  5   999        999
1991  6  2  6   999        999
1991  6  2  7   999        999
1991  6  2  8   999        999
1991  6  2  9   999        999
1991  6  2 10   999        999
1991  6  2 11   999        999
1991  6  2 12   999        999
1991  6  2 13   999        999
1991  6  2 14   999        999
1991  6  2 15   999        999
1991  6  2 16   999        999
1991  6  2 17   999        999
1991  6  2 18   999        999
1991  6  2 19   999        999
1991  6  2 20   999        999
1991  6  2 21   999        999
1991  6  2 22   999        999
1991  6  2 23   999        999
1991  6  2 24   999        999
1991  6  3  1   999        999
1991  6  3  2   999        999
1991  6  3  3   999        999
1991  6  3  4   999        999
1991  6  3  5   999        999
1991  6  3  6   999        999
1991  6  3  7   999        999
1991  6  3  8   999        999
1991  6  3  9   999        999
1991  6  3 10   999        999
1991  6  3 11   999        999
1991  6  3 12   999        999
1991  6  3 13   999        999
1991  6  3 14   999        999
1991  6  3 15   999        999
1991  6  3 16   999        999
1991  6  3 17   999        999
1991  6  3 18   999        999
1991  6  3 19   999        999
1991  6  3 20   999        999
1991  6  3 21   999        999
1991  6  3 22   999        999
1991  6  3 23   999        999
1991  6  3 24   999        999
1991  6  4  1   999        999
1991  6  4  2   999        999
1991  6  4  3   999        999
1991  6  4  4   999        999
1991  6  4  5   999        999
1991  6  4  6   999        999
1991  6  4  7   999        999
1991  6  4  8   999        999
1991  6  4  9   999        999
1991  6  4 10   999        999
1991  6  4 11   999        999
1991  6  4 12   999        999
1991  6  4 13   999        999
1991  6  4 14   999        999
1991  6  4 15   999        999
1991  6  4 16   999        999
1991  6  4 17   999        999
1991  6  4 18   999        999
1991  6  4 19   999        999
1991  6  4 20   999        999
1991  6  4 21   999        999
1991  6  4 22   999        999
1991  6  4 23   999        999
1991  6  4 24   999        999
1991  6  5  1   999        999
1991  6  5  2   999        999
1991  6  5  3   999        999
1991  6  5  4   999        999
1991  6  5  5   999        999
1991  6  5  6   999        999
1991  6  5  7   999        999
1991  6  5  8   999        999
1991  6  5  9   999        999
1991  6  5 10   999        999
1991  6  5 11   999        999
1991  6  5 12   999        999
1991  6  5 13   999        999
1991  6  5 14   999        999
1991  6  5 15   999        999
1991  6  5 16   999        999
1991  6  5 17   999        999
1991  6  5 18   999        999
1991  6  5 19   999        999
1991  6  5 20   999        999
1991  6  5 21   999        999
1991  6  5 22   999        999
1991  6  5 23   999        999
1991  6  5 24   999        999
1991  6  6  1   999        999
1991  6  6  2   999        999
1991  6  6  3   999        999
1991  6  6  4   999        999
1991  6  6  5   999        999
1991  6  6  6   999        999
1991  6  6  7   999        999
1991  6  6  8   999        999
1991  6  6  9   999        999
1991  6  6 10   999        999
1991  6  6 11   999        999
1991  6  6 12   999        999
1991  6  6 13   999        999
1991  6  6 14   999        999
1991  6  6 15   999        999
1991  6  6 16   999        999
1991  6  6 17   999        999
1991  6  6 18   999        999
1991  6  6 19   999        999
1991  6  6 20   999        999
1991  6  6 21   999        999
1991  6  6 22   999        999
1991  6  6 23   999        999
1991  6  6 24   999        999
1991  6  7  1   999        999
1991  6  7  2   999        999
1991  6  7  3   999        999
1991  6  7  4   999        999
1991  6  7  5   999        999
1991  6  7  6   999        999
1991  6  7  7   999        999
1991  6  7  8   999        999
1991  6  7  9   999        999
1991  6  7 10   999        999
1991  6  7 11   999        999
1991  6  7 12   999        999
1991  6  7 13   999        999
1991  6  7 14   999        999
1991  6  7 15   999        999
1991  6  7 16   999        999
1991  6  7 17   999        999
1991  6  7 18   999        999
1991  6  7 19   999        999
1991  6  7 20   999        999
1991  6  7 21   999        999
1991  6  7 22   999        999
1991  6  7 23   999        999
1991  6  7 24   999        999
1991  6  8  1   999        999
1991  6  8  2   999        999
1991  6  8  3   999        999
1991  6  8  4   999        999
1991  6  8  5   999        999
1991  6  8  6   999        999
1991  6  8  7   999        999
1991  6  8  8   999        999
1991  6  8  9   999        999
1991  6  8 10   999        999
1991  6  8 11   999        999
1991  6  8 12   999        999
1991  6  8 13   999        999
1991  6  8 14   999        999
1991  6  8 15   999        999
1991  6  8 16   999        999
1991  6  8 17   999        999
1991  6  8 18   999        999
1991  6  8 19   999        999
1991  6  8 20   999        999
1991  6  8 21   999        999
1991  6  8 22   999        999
1991  6  8 23   999        999
1991  6  8 24   999        999
1991  6  9  1   999        999
1991  6  9  2   999        999
1991  6  9  3   999        999
1991  6  9  4   999        999
1991  6  9  5   999        999
1991  6  9  6   999        999
1991  6  9  7   999        999
1991  6  9  8   999        999
1991  6  9  9   999        999
1991  6  9 10   999        999
1991  6  9 11   999        999
1991  6  9 12   999        999
1991  6  9 13   999        999
1991  6  9 14   999        999
1991  6  9 15   999        999
1991  6  9 16   999        999
1991  6  9 17   999        999
1991  6  9 18   999        999
1991  6  9 19   999        999
1991  6  9 20   999        999
1991  6  9 21   999        999
1991  6  9 22   999        999
1991  6  9 23   999        999
1991  6  9 24   999        999
1991  6 10  1   999        999
1991  6 10  2   999        999
1991  6 10  3   999        999
1991  6 10  4   999        999
1991  6 10  5   999        999
1991  6 10  6   999        999
1991  6 10  7   999        999
1991  6 10  8   999        999
1991  6 10  9   999        999
1991  6 10 10   999        999
1991  6 10 11   999        999
1991  6 10 12   999        999
1991  6 10 13   999        999
1991  6 10 14   999        999
1991  6 10 15   999        999
1991  6 10 16   999        999
1991  6 10 17   999        999
1991  6 10 18   999        999
1991  6 10 19   999        999
1991  6 10 20   999        999
1991  6 10 21   999        999
1991  6 10 22   999        999
1991  6 10 23   999        999
1991  6 10 24   999        999
1991  6 11  1   999        999
1991  6 11  2   999        999
1991  6 11  3   999        999
1991  6 11  4   999        999
1991  6 11  5   999        999
1991  6 11  6   999        999
1991  6 11  7   999        999
1991  6 11  8   999        999
1991  6 11  9   999        999
1991  6 11 10   999        999
1991  6 11 11   999        999
1991  6 11 12   999        999
1991  6 11 13   999        999
1991  6 11 14   999        999
1991  6 11 15   999        999
1991  6 11 16   999        999
1991  6 11 17   999        999
1991  6 11 18   999        999
1991  6 11 19   999        999
1991  6 11 20   999        999
1991  6 11 21   999        999
1991  6 11 22   999        999
1991  6 11 23   999        999
1991  6 11 24   999        999
1991  6 12  1   999        999
1991  6 12  2   999        999
1991  6 12  3   999        999
1991  6 12  4   999        999
1991  6 12  5   999        999
1991  6 12  6   999        999
1991  6 12  7   999        999
1991  6 12  8   999        999
1991  6 12  9   999        999
1991  6 12 10   999        999
1991  6 12 11   999        999
1991  6 12 12   999        999
1991  6 12 13   999        999
1991  6 12 14   999        999
1991  6 12 15   999        999
1991  6 12 16   999        999
1991  6 12 17   999        999
1991  6 12 18   999        999
1991  6 12 19   999        999
1991  6 12 20   999        999
1991  6 12 21   999        999
1991  6 12 22   999        999
1991  6 12 23   999        999
1991  6 12 24   999        999
1991  6 13  1   999        999
1991  6 13  2   999        999
1991  6 13  3   999        999
1991  6 13  4   999        999
1991  6 13  5   999        999
1991  6 13  6   999        999
1991  6 13  7   999        999
1991  6 13  8   999        999
1991  6 13  9   999        999
1991  6 13 10   999        999
1991  6 13 11   999        999
1991  6 13 12   999        999
1991  6 13 13   999        999
1991  6 13 14   999        999
1991  6 13 15   999        999
1991  6 13 16   999        999
1991  6 13 17   999        999
1991  6 13 18   999        999
1991  6 13 19   999        999
1991  6 13 20   999        999
1991  6 13 21   999        999
1991  6 13 22   999        999
1991  6 13 23   999        999
1991  6 13 24   999        999
1991  6 14  1   999        999
1991  6 14  2   999        999
1991  6 14  3   999        999
1991  6 14  4   999        999
1991  6 14  5   999        999
1991  6 14  6   999        999
1991  6 14  7   999        999
1991  6 14  8   999        999
1991  6 14  9   999        999
1991  6 14 10   999        999
1991  6 14 11   999        999
1991  6 14 12   999        999
1991  6 14 13   999        999
1991  6 14 14   999        999
1991  6 14 15   999        999
1991  6 14 16   999        999
1991  6 14 17   999        999
1991  6 14 18   999        999
1991  6 14 19   999        999
1991  6 14 20   999        999
1991  6 14 21   999        999
1991  6 14 22   999        999
1991  6 14 23   999        999
1991  6 14 24   999        999
1991  6 15  1   999        999
1991  6 15  2   999        999
1991  6 15  3   999        999
1991  6 15  4   999        999
1991  6 15  5   999        999
1991  6 15  6   999        999
1991  6 15  7   999        999
1991  6 15  8   999        999
1991  6 15  9   999        999
1991  6 15 10   999        999
1991  6 15 11   999        999
1991  6 15 12   999        999
1991  6 15 13   999        999
1991  6 15 14   999        999
1991  6 15 15   999        999
1991  6 15 16   999        999
1991  6 15 17   999        999
1991  6 15 18   999        999
1991  6 15 19   999        999
1991  6 15 20   999        999
1991  6 15 21   999        999
1991  6 15 22   999        999
1991  6 15 23   999        999
1991  6 15 24   999        999
1991  6 16  1   999        999
1991  6 16  2   999        999
1991  6 16  3   999        999
1991  6 16  4   999        999
1991  6 16  5   999        999
1991  6 16  6   999        999
1991  6 16  7   999        999
1991  6 16  8   999        999
1991  6 16  9   999        999
1991  6 16 10   999        999
1991  6 16 11   999        999
1991  6 16 12   999        999
1991  6 16 13   999        999
1991  6 16 14   999        999
1991  6 16 15   999        999
1991  6 16 16   999        999
1991  6 16 17   999        999
1991  6 16 18   999        999
1991  6 16 19   999        999
1991  6 16 20   999        999
1991  6 16 21   999        999
1991  6 16 22   999        999
1991  6 16 23   999        999
1991  6 16 24   999        999
1991  6 17  1   999        999
1991  6 17  2   999        999
1991  6 17  3   999        999
1991  6 17  4   999        999
1991  6 17  5   999        999
1991  6 17  6   999        999
1991  6 17  7   999        999
1991  6 17  8   999        999
1991  6 17  9   999        999
1991  6 17 10   999        999
1991  6 17 11   999        999
1991  6 17 12   999        999
1991  6 17 13   999        999
1991  6 17 14   999        999
1991  6 17 15   999        999
1991  6 17 16   999        999
1991  6 17 17   999        999
1991  6 17 18   999        999
1991  6 17 19   999        999
1991  6 17 20   999        999
1991  6 17 21   999        999
1991  6 17 22   999        999
1991  6 17 23   999        999
1991  6 17 24   999        999
1991  6 18  1   999        999
1991  6 18  2   999        999
1991  6 18  3   999        999
1991  6 18  4   999        999
1991  6 18  5   999        999
1991  6 18  6   999        999
1991  6 18  7   999        999
1991  6 18  8   999        999
1991  6 18  9   999        999
1991  6 18 10   999        999
1991  6 18 11   999        999
1991  6 18 12   999        999
1991  6 18 13   999        999
1991  6 18 14   999        999
1991  6 18 15   999        999
1991  6 18 16   999        999
1991  6 18 17   999        999
1991  6 18 18   999        999
1991  6 18 19   999        999
1991  6 18 20   999        999
1991  6 18 21   999        999
1991  6 18 22   999        999
1991  6 18 23   999        999
1991  6 18 24   999        999
1991  6 19  1   999        999
1991  6 19  2   999        999
1991  6 19  3   999        999
1991  6 19  4   999        999
1991  6 19  5   999        999
1991  6 19  6   999        999
1991  6 19  7   999        999
1991  6 19  8   999        999
1991  6 19  9   999        999
1991  6 19 10   999        999
1991  6 19 11   999        999
1991  6 19 12   999        999
1991  6 19 13   999        999
1991  6 19 14   999        999
1991  6 19 15   999        999
1991  6 19 16   999        999
1991  6 19 17   999        999
1991  6 19 18   999        999
1991  6 19 19   999        999
1991  6 19 20   999        999
1991  6 19 21   999        999
1991  6 19 22   999        999
1991  6 19 23   999        999
1991  6 19 24   999        999
1991  6 20  1   999        999
1991  6 20  2   999        999
1991  6 20  3   999        999
1991  6 20  4   999        999
1991  6 20  5   999        999
1991  6 20  6   999        999
1991  6 20  7   999        999
1991  6 20  8   999        999
1991  6 20  9   999        999
1991  6 20 10   999        999
1991  6 20 11   999        999
1991  6 20 12   999        999
1991  6 20 13   999        999
1991  6 20 14   999        999
1991  6 20 15   999        999
1991  6 20 16   999        999
1991  6 20 17   999        999
1991  6 20 18   999        999
1991  6 20 19   999        999
1991  6 20 20   999        999
1991  6 20 21   999        999
1991  6 20 22   999        999
1991  6 20 23   999        999
1991  6 20 24   999        999
1991  6 21  1   999        999
1991  6 21  2   999        999
1991  6 21  3   999        999
1991  6 21  4   999        999
1991  6 21  5   999        999
1991  6 21  6   999        999
1991  6 21  7   999        999
1991  6 21  8   999        999
1991  6 21  9   999        999
1991  6 21 10   999        999
1991  6 21 11   999        999
1991  6 21 12   999        999
1991  6 21 13   999        999
1991  6 21 14   999        999
1991  6 21 15   999        999
1991  6 21 16   999        999
1991  6 21 17   999        999
1991  6 21 18   999        999
1991  6 21 19   999        999
1991  6 21 20   999        999
1991  6 21 21   999        999
1991  6 21 22   999        999
1991  6 21 23   999        999
1991  6 21 24   999        999
1991  6 22  1   999        999
1991  6 22  2   999        999
1991  6 22  3   999        999
1991  6 22  4   999        999
1991  6 22  5   999        999
1991  6 22  6   999        999
1991  6 22  7   999        999
1991  6 22  8   999        999
1991  6 22  9   999        999
1991  6 22 10   999        999
1991  6 22 11   999        999
1991  6 22 12   999        999
1991  6 22 13   999        999
1991  6 22 14   999        999
1991  6 22 15   999        999
1991  6 22 16   999        999
1991  6 22 17   999        999
1991  6 22 18   999        999
1991  6 22 19   999        999
1991  6 22 20   999        999
1991  6 22 21   999        999
1991  6 22 22   999        999
1991  6 22 23   999        999
1991  6 22 24   999        999
1991  6 23  1   999        999
1991  6 23  2   999        999
1991  6 23  3   999        999
1991  6 23  4   999        999
1991  6 23  5   999        999
1991  6 23  6   999        999
1991  6 23  7   999        999
1991  6 23  8   999        999
1991  6 23  9   999        999
1991  6 23 10   999        999
1991  6 23 11   999        999
1991  6 23 12   999        999
1991  6 23 13   999        999
1991  6 23 14   999        999
1991  6 23 15   999        999
1991  6 23 16   999        999
1991  6 23 17   999        999
1991  6 23 18   999        999
1991  6 23 19   999        999
1991  6 23 20   999        999
1991  6 23 21   999        999
1991  6 23 22   999        999
1991  6 23 23   999        999
1991  6 23 24   999        999
1991  6 24  1   999        999
1991  6 24  2   999        999
1991  6 24  3   999        999
1991  6 24  4   999        999
1991  6 24  5   999        999
1991  6 24  6   999        999
1991  6 24  7   999        999
1991  6 24  8   999        999
1991  6 24  9   999        999
1991  6 24 10   999        999
1991  6 24 11   999        999
1991  6 24 12   999        999
1991  6 24 13   999        999
1991  6 24 14   999        999
1991  6 24 15   999        999
1991  6 24 16   999        999
1991  6 24 17   999        999
1991  6 24 18   999        999
1991  6 24 19   999        999
1991  6 24 20   999        999
1991  6 24 21   999        999
1991  6 24 22   999        999
1991  6 24 23   999        999
1991  6 24 24   999        999
1991  6 25  1   999        999
1991  6 25  2   999        999
1991  6 25  3   999        999
1991  6 25  4   999        999
1991  6 25  5   999        999
1991  6 25  6   999        999
1991  6 25  7   999        999
1991  6 25  8   999        999
1991  6 25  9   999        999
1991  6 25 10   999        999
1991  6 25 11   999        999
1991  6 25 12   999        999
1991  6 25 13   999        999
1991  6 25 14   999        999
1991  6 25 15   999        999
1991  6 25 16   999        999
1991  6 25 17   999        999
1991  6 25 18   999        999
1991  6 25 19   999        999
1991  6 25 20   999        999
1991  6 25 21   999        999
1991  6 25 22   999        999
1991  6 25 23   999        999
1991  6 25 24   999        999
1991  6 26  1   999        999
1991  6 26  2   999        999
1991  6 26  3   999        999
1991  6 26  4   999        999
1991  6 26  5   999        999
1991  6 26  6   999        999
1991  6 26  7   999        999
1991  6 26  8   999        999
1991  6 26  9   999        999
1991  6 26 10   999        999
1991  6 26 11   999        999
1991  6 26 12   999        999
1991  6 26 13   999        999
1991  6 26 14   999        999
1991  6 26 15   999        999
1991  6 26 16   999        999
1991  6 26 17   999        999
1991  6 26 18   999        999
1991  6 26 19   999        999
1991  6 26 20   999        999
1991  6 26 21   999        999
1991  6 26 22   999        999
1991  6 26 23   999        999
1991  6 26 24   999        999
1991  6 27  1   999        999
1991  6 27  2   999        999
1991  6 27  3   999        999
1991  6 27  4   999        999
1991  6 27  5   999        999
1991  6 27  6   999        999
1991  6 27  7   999        999
1991  6 27  8   999        999
1991  6 27  9   999        999
1991  6 27 10   999        999
1991  6 27 11   999        999
1991  6 27 12   999        999
1991  6 27 13   999        999
1991  6 27 14   999        999
1991  6 27 15   999        999
1991  6 27 16   999        999
1991  6 27 17   999        999
1991  6 27 18   999        999
1991  6 27 19   999        999
1991  6 27 20   999        999
1991  6 27 21   999        999
1991  6 27 22   999        999
1991  6 27 23   999        999
1991  6 27 24   999        999
1991  6 28  1   999        999
1991  6 28  2   999        999
1991  6 28  3   999        999
1991  6 28  4   999        999
1991  6 28  5   999        999
1991  6 28  6   999        999
1991  6 28  7   999        999
1991  6 28  8   999        999
1991  6 28  9   999        999
1991  6 28 10   999        999
1991  6 28 11   999        999
1991  6 28 12   999        999
1991  6 28 13   999        999
1991  6 28 14   999        999
1991  6 28 15   999        999
1991  6 28 16   999        999
1991  6 28 17   999        999
1991  6 28 18   999        999
1991  6 28 19   999        999
1991  6 28 20   999        999
1991  6 28 21   999        999
1991  6 28 22   999        999
1991  6 28 23   999        999
1991  6 28 24   999        999
1991  6 29  1   999        999
1991  6 29  2   999        999
1991  6 29  3   999        999
1991  6 29  4   999        999
1991  6 29  5   999        999
1991  6 29  6   999        999
1991  6 29  7   999        999
1991  6 29  8   999        999
1991  6 29  9   999        999
1991  6 29 10   999        999
1991  6 29 11   999        999
1991  6 29 12   999        999
1991  6 29 13   999        999
1991  6 29 14   999        999
1991  6 29 15   999        999
1991  6 29 16   999        999
1991  6 29 17   999        999
1991  6 29 18   999        999
1991  6 29 19   999        999
1991  6 29 20   999        999
1991  6 29 21   999        999
1991  6 29 22   999        999
1991  6 29 23   999        999
1991  6 29 24   999        999
1991  6 30  1   999        999
1991  6 30  2   999        999
1991  6 30  3   999        999
1991  6 30  4   999        999
1991  6 30  5   999        999
1991  6 30  6   999        999
1991  6 30  7   999        999
1991  6 30  8   999        999
1991  6 30  9   999        999
1991  6 30 10   999        999
1991  6 30 11   999        999
1991  6 30 12   999        999
1991  6 30 13   999        999
1991  6 30 14   999        999
1991  6 30 15   999        999
1991  6 30 16   999        999
1991  6 30 17   999        999
1991  6 30 18   999        999
1991  6 30 19   999        999
1991  6 30 20   999        999
1991  6 30 21   999        999
1991  6 30 22   999        999
1991  6 30 23   999        999
1991  6 30 24   999        999
1991  7  1  1   999        999
1991  7  1  2   999        999
1991  7  1  3   999        999
1991  7  1  4   999        999
1991  7  1  5   999        999
1991  7  1  6   999        999
1991  7  1  7   999        999
1991  7  1  8   999        999
1991  7  1  9   999        999
1991  7  1 10   999        999
1991  7  1 11   999        999
1991  7  1 12   999        999
1991  7  1 13   999        999
1991  7  1 14   999        999
