YY	MM	DD	HH	"1"	"2"	tot_average
Makroporenspeicher in mm je Zone  soil_model
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	3.80608	8.96613	5.51245
1999	 5	 1	 2	3.77120	8.84580	5.44931
1999	 5	 1	 3	3.73672	8.73147	5.38843
1999	 5	 1	 4	3.70260	8.62245	5.32954
1999	 5	 1	 5	3.66881	8.51814	5.27242
1999	 5	 1	 6	3.63531	8.41804	5.21690
1999	 5	 1	 7	3.60209	8.32172	5.16281
1999	 5	 1	 8	3.56912	8.22883	5.11003
1999	 5	 1	 9	3.53639	8.13903	5.05843
1999	 5	 1	10	3.50388	8.05206	5.00791
1999	 5	 1	11	3.47158	7.96767	4.95839
1999	 5	 1	12	3.43948	7.88566	4.90978
1999	 5	 1	13	3.40758	7.80582	4.86203
1999	 5	 1	14	3.37587	7.72801	4.81507
1999	 5	 1	15	3.34433	7.65208	4.76886
1999	 5	 1	16	3.31298	7.57790	4.72334
1999	 5	 1	17	3.28179	7.50536	4.67848
1999	 5	 1	18	3.25078	7.43434	4.63423
1999	 5	 1	19	3.21993	7.36475	4.59057
1999	 5	 1	20	3.18924	7.29653	4.54747
1999	 5	 1	21	3.15871	7.22958	4.50490
1999	 5	 1	22	3.12835	7.16385	4.46284
1999	 5	 1	23	3.09815	7.09926	4.42127
1999	 5	 1	24	3.06810	7.03575	4.38016
1999	 5	 2	 1	3.03821	6.97327	4.33949
1999	 5	 2	 2	3.00848	6.91178	4.29926
1999	 5	 2	 3	2.97891	6.85121	4.25943
1999	 5	 2	 4	2.94949	6.79153	4.22001
1999	 5	 2	 5	2.92023	6.73270	4.18097
1999	 5	 2	 6	2.89113	6.67469	4.14231
1999	 5	 2	 7	2.86219	6.61745	4.10401
1999	 5	 2	 8	2.83340	6.56095	4.06606
1999	 5	 2	 9	2.80478	6.50517	4.02845
1999	 5	 2	10	2.77631	6.45008	3.99118
1999	 5	 2	11	2.74800	6.39564	3.95423
1999	 5	 2	12	2.71985	6.34185	3.91760
1999	 5	 2	13	2.69186	6.28867	3.88128
1999	 5	 2	14	2.66403	6.23608	3.84527
1999	 5	 2	15	2.63637	6.18407	3.80955
1999	 5	 2	16	2.60887	6.13262	3.77413
1999	 5	 2	17	2.58152	6.08172	3.73900
1999	 5	 2	18	2.55435	6.03135	3.70415
1999	 5	 2	19	2.52733	5.98151	3.66959
1999	 5	 2	20	2.50049	5.93219	3.63531
1999	 5	 2	21	2.47381	5.88336	3.60131
1999	 5	 2	22	2.44729	5.83503	3.56758
1999	 5	 2	23	2.42094	5.78717	3.53412
1999	 5	 2	24	2.39477	5.73977	3.50092
1999	 5	 3	 1	2.36876	5.69282	3.46799
1999	 5	 3	 2	2.34292	5.64633	3.43532
1999	 5	 3	 3	2.31725	5.60026	3.40290
1999	 5	 3	 4	2.29175	5.55462	3.37075
1999	 5	 3	 5	2.26643	5.50941	3.33884
1999	 5	 3	 6	2.24127	5.46460	3.30719
1999	 5	 3	 7	2.21629	5.42019	3.27578
1999	 5	 3	 8	2.19148	5.37617	3.24462
1999	 5	 3	 9	2.16685	5.33253	3.21370
1999	 5	 3	10	2.14239	5.28926	3.18302
1999	 5	 3	11	2.11810	5.24637	3.15258
1999	 5	 3	12	2.09399	5.20383	3.12238
1999	 5	 3	13	2.07006	5.16165	3.09241
1999	 5	 3	14	2.04630	5.11983	3.06268
1999	 5	 3	15	2.02271	5.07836	3.03318
1999	 5	 3	16	1.99931	5.03724	3.00392
1999	 5	 3	17	1.97608	4.99646	2.97488
1999	 5	 3	18	1.95302	4.95603	2.94608
1999	 5	 3	19	1.93015	4.91593	2.91751
1999	 5	 3	20	1.90745	4.87618	2.88917
1999	 5	 3	21	1.88493	4.83676	2.86106
1999	 5	 3	22	1.86258	4.79766	2.83318
1999	 5	 3	23	1.84042	4.75888	2.80552
1999	 5	 3	24	1.81843	4.72041	2.77808
1999	 5	 4	 1	1.79662	4.68226	2.75087
1999	 5	 4	 2	1.77499	4.64442	2.72388
1999	 5	 4	 3	1.75354	4.60689	2.69711
1999	 5	 4	 4	1.73227	4.56966	2.67056
1999	 5	 4	 5	1.71118	4.53272	2.64423
1999	 5	 4	 6	1.69026	4.49609	2.61811
1999	 5	 4	 7	1.66952	4.45974	2.59222
1999	 5	 4	 8	1.64896	4.42368	2.56653
1999	 5	 4	 9	1.62858	4.38790	2.54105
1999	 5	 4	10	1.60837	4.35239	2.51579
1999	 5	 4	11	1.58835	4.31716	2.49073
1999	 5	 4	12	1.56850	4.28219	2.46589
1999	 5	 4	13	1.54883	4.24750	2.44125
1999	 5	 4	14	1.52933	4.21307	2.41681
1999	 5	 4	15	1.51001	4.17889	2.39258
1999	 5	 4	16	1.49087	4.14498	2.36855
1999	 5	 4	17	1.47190	4.11133	2.34473
1999	 5	 4	18	1.45311	4.07793	2.32111
1999	 5	 4	19	1.43450	4.04479	2.29769
1999	 5	 4	20	1.41605	4.01190	2.27447
1999	 5	 4	21	1.39779	3.97927	2.25145
1999	 5	 4	22	1.37970	3.94689	2.22864
1999	 5	 4	23	1.36178	3.91477	2.20602
1999	 5	 4	24	1.34403	3.88289	2.18360
1999	 5	 5	 1	1.32646	3.85127	2.16138
1999	 5	 5	 2	1.30905	3.81989	2.13936
1999	 5	 5	 3	1.29182	3.78877	2.11753
1999	 5	 5	 4	1.27476	3.75788	2.09590
1999	 5	 5	 5	1.25787	3.72724	2.07446
1999	 5	 5	 6	1.24115	3.69684	2.05322
1999	 5	 5	 7	1.22460	3.66667	2.03216
1999	 5	 5	 8	1.20821	3.63674	2.01130
1999	 5	 5	 9	1.19199	3.60704	1.99062
1999	 5	 5	10	1.17594	3.57756	1.97013
1999	 5	 5	11	1.16006	3.54832	1.94983
1999	 5	 5	12	1.14433	3.51930	1.92971
1999	 5	 5	13	1.12878	3.49050	1.90977
1999	 5	 5	14	1.11338	3.46192	1.89001
1999	 5	 5	15	1.09815	3.43356	1.87044
1999	 5	 5	16	1.08308	3.40542	1.85105
1999	 5	 5	17	1.06817	3.37749	1.83183
1999	 5	 5	18	1.05342	3.34978	1.81280
1999	 5	 5	19	1.03883	3.32229	1.79394
1999	 5	 5	20	1.02439	3.29501	1.77526
1999	 5	 5	21	1.01012	3.26795	1.75676
1999	 5	 5	22	0.99600	3.24111	1.73843
1999	 5	 5	23	0.98204	3.21447	1.72028
