YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	3.465	4.293	3.739
1999	 5	 1	 2	3.474	4.344	3.761
1999	 5	 1	 3	3.302	4.152	3.583
1999	 5	 1	 4	2.518	3.203	2.745
1999	 5	 1	 5	2.080	2.628	2.261
1999	 5	 1	 6	2.693	2.680	2.688
1999	 5	 1	 7	3.264	3.064	3.198
1999	 5	 1	 8	4.545	3.159	4.087
1999	 5	 1	 9	5.555	3.869	4.998
1999	 5	 1	10	4.694	3.493	4.297
1999	 5	 1	11	4.935	3.400	4.428
1999	 5	 1	12	5.171	3.420	4.592
1999	 5	 1	13	6.267	3.967	5.506
1999	 5	 1	14	5.956	3.798	5.242
1999	 5	 1	15	6.860	4.704	6.147
1999	 5	 1	16	5.977	4.459	5.475
1999	 5	 1	17	5.486	3.751	4.912
1999	 5	 1	18	3.751	3.170	3.559
1999	 5	 1	19	2.911	3.069	2.963
1999	 5	 1	20	2.774	2.576	2.709
1999	 5	 1	21	1.644	2.291	1.858
1999	 5	 1	22	1.711	2.392	1.936
1999	 5	 1	23	3.401	3.388	3.396
1999	 5	 1	24	3.357	3.654	3.455
1999	 5	 2	 1	3.573	3.666	3.603
1999	 5	 2	 2	4.444	4.504	4.464
1999	 5	 2	 3	4.960	5.022	4.981
1999	 5	 2	 4	4.984	4.917	4.962
1999	 5	 2	 5	4.661	4.698	4.673
1999	 5	 2	 6	5.422	4.936	5.261
1999	 5	 2	 7	5.957	5.147	5.689
1999	 5	 2	 8	6.379	5.145	5.971
1999	 5	 2	 9	6.255	5.023	5.848
1999	 5	 2	10	6.204	4.495	5.639
1999	 5	 2	11	5.904	4.087	5.303
1999	 5	 2	12	5.903	4.180	5.333
1999	 5	 2	13	4.998	3.303	4.437
1999	 5	 2	14	5.095	3.258	4.488
1999	 5	 2	15	5.328	3.609	4.759
1999	 5	 2	16	5.120	3.164	4.473
1999	 5	 2	17	5.230	3.466	4.647
1999	 5	 2	18	3.480	2.774	3.246
1999	 5	 2	19	2.143	2.740	2.340
1999	 5	 2	20	2.965	3.217	3.049
1999	 5	 2	21	2.657	2.757	2.690
1999	 5	 2	22	1.961	2.444	2.121
1999	 5	 2	23	1.558	2.104	1.738
1999	 5	 2	24	1.817	2.307	1.979
1999	 5	 3	 1	1.940	2.464	2.113
1999	 5	 3	 2	2.166	2.726	2.351
1999	 5	 3	 3	2.624	3.390	2.877
1999	 5	 3	 4	2.346	2.937	2.541
1999	 5	 3	 5	1.677	2.243	1.864
1999	 5	 3	 6	2.250	2.391	2.296
1999	 5	 3	 7	1.678	2.005	1.786
1999	 5	 3	 8	3.058	2.642	2.920
1999	 5	 3	 9	4.296	2.830	3.811
1999	 5	 3	10	4.991	3.126	4.374
1999	 5	 3	11	5.329	2.736	4.472
1999	 5	 3	12	5.359	2.873	4.537
1999	 5	 3	13	6.318	3.253	5.304
1999	 5	 3	14	7.918	4.274	6.713
1999	 5	 3	15	7.733	4.507	6.666
1999	 5	 3	16	7.128	4.674	6.316
1999	 5	 3	17	7.071	4.559	6.240
1999	 5	 3	18	4.790	4.212	4.599
1999	 5	 3	19	3.649	3.670	3.655
1999	 5	 3	20	2.222	2.950	2.463
1999	 5	 3	21	3.570	3.930	3.689
1999	 5	 3	22	3.010	3.857	3.290
1999	 5	 3	23	3.822	3.801	3.815
1999	 5	 3	24	3.428	3.636	3.496
1999	 5	 4	 1	1.732	2.420	1.960
1999	 5	 4	 2	1.840	2.368	2.015
1999	 5	 4	 3	1.758	2.410	1.974
1999	 5	 4	 4	2.068	2.656	2.263
1999	 5	 4	 5	2.732	3.646	3.034
1999	 5	 4	 6	5.056	5.023	5.045
1999	 5	 4	 7	5.583	4.315	5.164
1999	 5	 4	 8	6.076	4.974	5.711
1999	 5	 4	 9	6.656	5.141	6.155
1999	 5	 4	10	8.019	6.250	7.434
1999	 5	 4	11	8.638	6.566	7.953
1999	 5	 4	12	8.590	6.508	7.902
1999	 5	 4	13	8.805	6.335	7.988
1999	 5	 4	14	9.204	6.477	8.302
1999	 5	 4	15	8.375	5.980	7.583
1999	 5	 4	16	8.839	6.535	8.077
1999	 5	 4	17	7.949	6.322	7.411
1999	 5	 4	18	7.399	5.394	6.736
1999	 5	 4	19	6.479	4.807	5.926
1999	 5	 4	20	6.606	5.293	6.172
1999	 5	 4	21	6.692	5.712	6.367
1999	 5	 4	22	7.594	6.692	7.296
1999	 5	 4	23	7.566	6.703	7.281
1999	 5	 4	24	6.917	5.562	6.469
1999	 5	 5	 1	6.216	5.506	5.982
1999	 5	 5	 2	5.879	5.267	5.676
1999	 5	 5	 3	6.248	5.201	5.902
1999	 5	 5	 4	7.315	6.215	6.951
1999	 5	 5	 5	7.300	6.623	7.076
1999	 5	 5	 6	7.629	6.416	7.228
1999	 5	 5	 7	6.979	5.466	6.479
1999	 5	 5	 8	7.560	5.608	6.915
1999	 5	 5	 9	8.010	6.372	7.469
1999	 5	 5	10	8.108	6.203	7.478
1999	 5	 5	11	8.731	6.378	7.953
1999	 5	 5	12	8.310	5.817	7.486
1999	 5	 5	13	8.999	6.222	8.080
1999	 5	 5	14	8.499	5.644	7.555
1999	 5	 5	15	8.396	5.464	7.426
1999	 5	 5	16	9.041	6.148	8.084
1999	 5	 5	17	8.432	6.406	7.762
1999	 5	 5	18	7.910	6.445	7.426
1999	 5	 5	19	6.507	5.041	6.022
1999	 5	 5	20	6.563	5.318	6.151
1999	 5	 5	21	6.700	5.244	6.219
1999	 5	 5	22	7.299	6.321	6.975
1999	 5	 5	23	6.947	6.783	6.893
1999	 5	 5	24	4.906	6.134	5.312
1999	 5	 6	 1	5.178	6.208	5.519
1999	 5	 6	 2	4.579	5.454	4.868
1999	 5	 6	 3	4.507	5.574	4.860
1999	 5	 6	 4	4.133	5.177	4.478
1999	 5	 6	 5	5.271	6.050	5.529
1999	 5	 6	 6	5.335	6.211	5.625
1999	 5	 6	 7	7.009	7.166	7.061
1999	 5	 6	 8	8.507	7.553	8.192
1999	 5	 6	 9	7.364	6.868	7.200
1999	 5	 6	10	7.450	6.438	7.115
1999	 5	 6	11	7.563	6.486	7.207
1999	 5	 6	12	7.600	6.487	7.232
1999	 5	 6	13	8.562	6.528	7.889
1999	 5	 6	14	7.969	6.379	7.444
1999	 5	 6	15	7.354	6.190	6.969
1999	 5	 6	16	5.844	5.142	5.612
1999	 5	 6	17	4.502	4.758	4.587
1999	 5	 6	18	4.271	4.462	4.334
1999	 5	 6	19	3.405	3.710	3.506
1999	 5	 6	20	2.208	3.017	2.476
1999	 5	 6	21	2.963	3.874	3.264
1999	 5	 6	22	3.118	4.029	3.419
1999	 5	 6	23	3.561	4.628	3.914
1999	 5	 6	24	4.060	5.202	4.438
1999	 5	 7	 1	4.418	5.629	4.818
1999	 5	 7	 2	3.573	4.685	3.941
1999	 5	 7	 3	3.417	4.391	3.739
1999	 5	 7	 4	4.559	5.921	5.009
1999	 5	 7	 5	4.146	5.420	4.567
1999	 5	 7	 6	4.284	5.478	4.679
1999	 5	 7	 7	5.488	6.275	5.748
1999	 5	 7	 8	6.560	6.954	6.690
1999	 5	 7	 9	7.165	6.616	6.983
1999	 5	 7	10	7.570	7.083	7.409
1999	 5	 7	11	7.879	6.886	7.551
1999	 5	 7	12	9.086	6.647	8.280
1999	 5	 7	13	6.997	6.279	6.760
1999	 5	 7	14	6.295	5.762	6.118
1999	 5	 7	15	6.956	6.200	6.706
1999	 5	 7	16	5.783	5.650	5.739
1999	 5	 7	17	5.691	5.649	5.677
1999	 5	 7	18	5.048	5.496	5.196
1999	 5	 7	19	5.313	5.509	5.378
1999	 5	 7	20	5.194	5.749	5.378
1999	 5	 7	21	5.561	6.067	5.728
1999	 5	 7	22	4.210	5.050	4.488
1999	 5	 7	23	4.602	5.187	4.795
1999	 5	 7	24	3.972	4.685	4.208
1999	 5	 8	 1	2.907	3.521	3.110
1999	 5	 8	 2	2.610	3.333	2.849
1999	 5	 8	 3	2.920	3.538	3.124
1999	 5	 8	 4	3.424	3.834	3.560
1999	 5	 8	 5	3.554	3.852	3.653
1999	 5	 8	 6	4.357	4.113	4.276
1999	 5	 8	 7	4.585	4.077	4.417
1999	 5	 8	 8	4.025	3.859	3.970
1999	 5	 8	 9	4.930	4.167	4.678
1999	 5	 8	10	4.045	3.799	3.964
1999	 5	 8	11	4.394	4.190	4.327
1999	 5	 8	12	4.198	4.075	4.157
1999	 5	 8	13	3.958	3.923	3.946
1999	 5	 8	14	4.103	3.929	4.046
1999	 5	 8	15	2.646	3.094	2.794
1999	 5	 8	16	5.529	4.708	5.257
1999	 5	 8	17	5.431	4.828	5.231
1999	 5	 8	18	8.918	5.962	7.941
1999	 5	 8	19	6.392	5.089	5.962
1999	 5	 8	20	5.575	5.617	5.589
1999	 5	 8	21	5.088	5.230	5.135
1999	 5	 8	22	6.996	5.693	6.565
1999	 5	 8	23	4.871	5.023	4.921
1999	 5	 8	24	4.570	4.790	4.643
1999	 5	 9	 1	3.389	4.052	3.608
1999	 5	 9	 2	3.161	3.634	3.317
1999	 5	 9	 3	3.083	3.574	3.245
1999	 5	 9	 4	2.750	3.250	2.915
1999	 5	 9	 5	2.726	3.192	2.880
1999	 5	 9	 6	2.457	2.733	2.548
1999	 5	 9	 7	2.022	2.322	2.121
1999	 5	 9	 8	6.291	4.441	5.679
1999	 5	 9	 9	7.433	5.028	6.638
1999	 5	 9	10	6.970	4.320	6.094
1999	 5	 9	11	7.293	4.871	6.492
1999	 5	 9	12	7.015	4.388	6.146
1999	 5	 9	13	6.944	4.529	6.146
1999	 5	 9	14	5.459	3.390	4.775
1999	 5	 9	15	5.662	3.630	4.990
