YY	MM	DD	HH	"1"	"2"	tot_average
gebildeter schneller Basisabfluss in mm je Zone (Summe aus QBB und QB)soil_model
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.14423	0.10843	0.13239
1999	 5	 1	 2	0.14386	0.10811	0.13204
1999	 5	 1	 3	0.14350	0.10779	0.13169
1999	 5	 1	 4	0.14314	0.10747	0.13134
1999	 5	 1	 5	0.14278	0.10715	0.13100
1999	 5	 1	 6	0.14242	0.10684	0.13065
1999	 5	 1	 7	0.14206	0.10653	0.13031
1999	 5	 1	 8	0.14170	0.10621	0.12997
1999	 5	 1	 9	0.14135	0.10590	0.12963
1999	 5	 1	10	0.14100	0.10559	0.12929
1999	 5	 1	11	0.14064	0.10527	0.12895
1999	 5	 1	12	0.14029	0.10496	0.12861
1999	 5	 1	13	0.13994	0.10465	0.12827
1999	 5	 1	14	0.13959	0.10434	0.12793
1999	 5	 1	15	0.13924	0.10403	0.12760
1999	 5	 1	16	0.13890	0.10373	0.12727
1999	 5	 1	17	0.13856	0.10342	0.12694
1999	 5	 1	18	0.13821	0.10312	0.12661
1999	 5	 1	19	0.13787	0.10282	0.12628
1999	 5	 1	20	0.13753	0.10252	0.12596
1999	 5	 1	21	0.13720	0.10223	0.12563
1999	 5	 1	22	0.13686	0.10194	0.12531
1999	 5	 1	23	0.13653	0.10164	0.12499
1999	 5	 1	24	0.13620	0.10135	0.12468
1999	 5	 2	 1	0.13587	0.10107	0.12436
1999	 5	 2	 2	0.13554	0.10078	0.12404
1999	 5	 2	 3	0.13521	0.10049	0.12373
1999	 5	 2	 4	0.13489	0.10020	0.12342
1999	 5	 2	 5	0.13456	0.09992	0.12311
1999	 5	 2	 6	0.13424	0.09964	0.12280
1999	 5	 2	 7	0.13392	0.09935	0.12249
1999	 5	 2	 8	0.13360	0.09907	0.12218
1999	 5	 2	 9	0.13328	0.09879	0.12187
1999	 5	 2	10	0.13296	0.09850	0.12157
1999	 5	 2	11	0.13265	0.09822	0.12126
1999	 5	 2	12	0.13233	0.09794	0.12096
1999	 5	 2	13	0.13202	0.09766	0.12066
1999	 5	 2	14	0.13171	0.09738	0.12036
1999	 5	 2	15	0.13140	0.09711	0.12006
1999	 5	 2	16	0.13109	0.09683	0.11976
1999	 5	 2	17	0.13078	0.09656	0.11946
1999	 5	 2	18	0.13047	0.09629	0.11917
1999	 5	 2	19	0.13017	0.09602	0.11888
1999	 5	 2	20	0.12986	0.09575	0.11858
1999	 5	 2	21	0.12956	0.09549	0.11829
1999	 5	 2	22	0.12926	0.09523	0.11801
1999	 5	 2	23	0.12896	0.09497	0.11772
1999	 5	 2	24	0.12866	0.09470	0.11743
1999	 5	 3	 1	0.12837	0.09444	0.11715
1999	 5	 3	 2	0.12807	0.09419	0.11687
1999	 5	 3	 3	0.12778	0.09393	0.11658
1999	 5	 3	 4	0.12748	0.09367	0.11630
1999	 5	 3	 5	0.12719	0.09342	0.11602
1999	 5	 3	 6	0.12690	0.09316	0.11574
1999	 5	 3	 7	0.12661	0.09291	0.11547
1999	 5	 3	 8	0.12632	0.09266	0.11519
1999	 5	 3	 9	0.12603	0.09240	0.11491
1999	 5	 3	10	0.12575	0.09215	0.11464
