YY	MM	DD	HH	"1"	"2"	tot_average

--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.000	0.000	0.000
1999	 5	 1	 2	0.000	0.000	0.000
1999	 5	 1	 3	0.000	0.000	0.000
1999	 5	 1	 4	3.180	3.025	3.129
1999	 5	 1	 5	36.813	35.156	36.265
1999	 5	 1	 6	147.325	143.939	146.205
1999	 5	 1	 7	310.232	306.759	309.083
1999	 5	 1	 8	470.470	467.175	469.380
1999	 5	 1	 9	608.302	605.465	607.364
1999	 5	 1	10	669.658	670.188	669.833
1999	 5	 1	11	594.737	594.722	594.732
1999	 5	 1	12	436.337	439.841	437.496
1999	 5	 1	13	448.279	447.416	447.994
1999	 5	 1	14	494.234	492.216	493.566
1999	 5	 1	15	425.004	432.304	427.418
1999	 5	 1	16	238.592	241.039	239.401
1999	 5	 1	17	149.722	151.628	150.352
1999	 5	 1	18	74.234	75.893	74.782
1999	 5	 1	19	23.006	24.049	23.351
1999	 5	 1	20	2.770	2.770	2.770
1999	 5	 1	21	0.000	0.000	0.000
1999	 5	 1	22	0.000	0.000	0.000
1999	 5	 1	23	0.000	0.000	0.000
1999	 5	 1	24	0.000	0.000	0.000
1999	 5	 2	 1	0.000	0.000	0.000
1999	 5	 2	 2	0.000	0.000	0.000
1999	 5	 2	 3	0.000	0.000	0.000
1999	 5	 2	 4	0.318	0.303	0.313
1999	 5	 2	 5	12.191	11.597	11.994
1999	 5	 2	 6	84.892	81.977	83.929
1999	 5	 2	 7	244.646	239.769	243.033
1999	 5	 2	 8	428.048	423.302	426.478
1999	 5	 2	 9	612.315	609.011	611.222
1999	 5	 2	10	704.375	703.215	703.991
1999	 5	 2	11	742.087	742.201	742.125
1999	 5	 2	12	666.530	668.700	667.247
1999	 5	 2	13	616.708	621.302	618.227
1999	 5	 2	14	513.704	517.228	514.869
1999	 5	 2	15	390.146	396.439	392.227
1999	 5	 2	16	243.088	247.210	244.451
1999	 5	 2	17	128.631	128.995	128.752
1999	 5	 2	18	74.745	76.515	75.330
1999	 5	 2	19	22.229	23.175	22.542
1999	 5	 2	20	0.000	0.000	0.000
1999	 5	 2	21	0.000	0.000	0.000
1999	 5	 2	22	0.000	0.000	0.000
1999	 5	 2	23	0.000	0.000	0.000
1999	 5	 2	24	0.000	0.000	0.000
1999	 5	 3	 1	0.000	0.000	0.000
1999	 5	 3	 2	0.000	0.000	0.000
1999	 5	 3	 3	0.000	0.000	0.000
1999	 5	 3	 4	2.650	2.521	2.607
1999	 5	 3	 5	32.043	30.618	31.572
1999	 5	 3	 6	106.875	104.783	106.183
1999	 5	 3	 7	240.081	235.831	238.675
1999	 5	 3	 8	398.673	395.087	397.487
1999	 5	 3	 9	488.782	491.762	489.768
1999	 5	 3	10	536.882	532.923	535.573
1999	 5	 3	11	406.525	410.534	407.851
1999	 5	 3	12	388.012	385.351	387.132
1999	 5	 3	13	547.630	540.309	545.209
1999	 5	 3	14	640.523	638.686	639.916
1999	 5	 3	15	551.178	553.959	552.098
1999	 5	 3	16	449.076	451.825	449.985
1999	 5	 3	17	315.625	320.407	317.206
1999	 5	 3	18	158.097	162.164	159.442
1999	 5	 3	19	37.652	39.334	38.208
1999	 5	 3	20	0.000	0.000	0.000
1999	 5	 3	21	0.000	0.000	0.000
1999	 5	 3	22	0.000	0.000	0.000
1999	 5	 3	23	0.000	0.000	0.000
1999	 5	 3	24	0.000	0.000	0.000
1999	 5	 4	 1	0.000	0.000	0.000
1999	 5	 4	 2	0.000	0.000	0.000
1999	 5	 4	 3	0.000	0.000	0.000
1999	 5	 4	 4	4.187	3.983	4.120
1999	 5	 4	 5	57.712	55.309	56.917
1999	 5	 4	 6	159.814	157.443	159.030
1999	 5	 4	 7	277.942	275.771	277.224
1999	 5	 4	 8	389.012	386.707	388.250
1999	 5	 4	 9	501.942	499.414	501.106
1999	 5	 4	10	565.064	564.601	564.911
1999	 5	 4	11	680.246	674.853	678.463
1999	 5	 4	12	681.223	685.517	682.643
1999	 5	 4	13	604.403	604.864	604.556
1999	 5	 4	14	563.447	565.091	563.991
1999	 5	 4	15	481.761	484.136	482.547
1999	 5	 4	16	365.084	368.135	366.093
1999	 5	 4	17	253.809	256.598	254.732
1999	 5	 4	18	126.248	130.379	127.614
1999	 5	 4	19	27.451	28.683	27.858
1999	 5	 4	20	2.770	2.770	2.770
1999	 5	 4	21	0.000	0.000	0.000
1999	 5	 4	22	0.000	0.000	0.000
1999	 5	 4	23	0.000	0.000	0.000
1999	 5	 4	24	0.000	0.000	0.000
1999	 5	 5	 1	0.000	0.000	0.000
1999	 5	 5	 2	0.000	0.000	0.000
1999	 5	 5	 3	0.000	0.000	0.000
1999	 5	 5	 4	2.703	2.572	2.660
1999	 5	 5	 5	30.435	29.223	30.034
1999	 5	 5	 6	79.374	78.215	78.991
1999	 5	 5	 7	156.652	154.300	155.874
1999	 5	 5	 8	256.141	253.678	255.326
1999	 5	 5	 9	419.460	414.051	417.671
1999	 5	 5	10	628.373	623.206	626.664
1999	 5	 5	11	696.681	697.789	697.047
1999	 5	 5	12	708.289	707.345	707.977
1999	 5	 5	13	695.337	696.646	695.770
1999	 5	 5	14	699.339	698.425	699.037
1999	 5	 5	15	648.412	652.139	649.645
1999	 5	 5	16	500.109	504.836	501.672
1999	 5	 5	17	317.610	323.243	319.473
1999	 5	 5	18	130.879	135.730	132.484
1999	 5	 5	19	23.006	24.049	23.351
1999	 5	 5	20	2.770	2.770	2.770
1999	 5	 5	21	0.000	0.000	0.000
1999	 5	 5	22	0.000	0.000	0.000
1999	 5	 5	23	0.000	0.000	0.000
1999	 5	 5	24	0.000	0.000	0.000
1999	 5	 6	 1	0.000	0.000	0.000
1999	 5	 6	 2	0.000	0.000	0.000
1999	 5	 6	 3	0.000	0.000	0.000
1999	 5	 6	 4	3.710	3.530	3.650
1999	 5	 6	 5	34.410	33.005	33.945
1999	 5	 6	 6	138.677	135.036	137.473
1999	 5	 6	 7	312.189	307.945	310.785
1999	 5	 6	 8	461.116	458.817	460.355
1999	 5	 6	 9	476.238	478.611	477.023
1999	 5	 6	10	397.360	399.246	397.984
1999	 5	 6	11	418.861	415.780	417.842
1999	 5	 6	12	416.223	418.678	417.035
1999	 5	 6	13	321.505	323.838	322.276
1999	 5	 6	14	259.894	260.630	260.138
1999	 5	 6	15	244.983	245.092	245.019
1999	 5	 6	16	227.246	228.083	227.523
1999	 5	 6	17	160.886	163.871	161.873
1999	 5	 6	18	78.720	80.297	79.242
1999	 5	 6	19	30.101	31.204	30.466
1999	 5	 6	20	5.550	5.550	5.550
1999	 5	 6	21	0.000	0.000	0.000
1999	 5	 6	22	0.000	0.000	0.000
1999	 5	 6	23	0.000	0.000	0.000
1999	 5	 6	24	0.000	0.000	0.000
1999	 5	 7	 1	0.000	0.000	0.000
1999	 5	 7	 2	0.000	0.000	0.000
1999	 5	 7	 3	0.000	0.000	0.000
1999	 5	 7	 4	1.590	1.513	1.564
1999	 5	 7	 5	17.733	17.004	17.492
1999	 5	 7	 6	84.814	82.443	84.030
1999	 5	 7	 7	155.621	154.941	155.396
1999	 5	 7	 8	215.788	213.938	215.177
1999	 5	 7	 9	367.642	362.051	365.793
1999	 5	 7	10	560.027	556.159	558.748
1999	 5	 7	11	548.000	554.586	550.178
1999	 5	 7	12	478.621	477.228	478.161
1999	 5	 7	13	593.391	589.927	592.246
1999	 5	 7	14	471.455	475.953	472.942
1999	 5	 7	15	380.093	383.089	381.084
1999	 5	 7	16	324.182	324.356	324.240
1999	 5	 7	17	245.482	247.594	246.180
1999	 5	 7	18	130.410	134.878	131.887
1999	 5	 7	19	31.230	32.549	31.666
1999	 5	 7	20	8.330	8.330	8.330
1999	 5	 7	21	0.000	0.000	0.000
1999	 5	 7	22	0.000	0.000	0.000
1999	 5	 7	23	0.000	0.000	0.000
1999	 5	 7	24	0.000	0.000	0.000
1999	 5	 8	 1	0.000	0.000	0.000
1999	 5	 8	 2	0.000	0.000	0.000
1999	 5	 8	 3	0.000	0.000	0.000
1999	 5	 8	 4	4.823	4.588	4.746
1999	 5	 8	 5	25.646	24.803	25.367
1999	 5	 8	 6	38.437	38.324	38.399
1999	 5	 8	 7	41.538	41.815	41.630
1999	 5	 8	 8	49.544	49.025	49.372
1999	 5	 8	 9	114.151	110.894	113.074
1999	 5	 8	10	163.516	162.858	163.298
1999	 5	 8	11	121.681	122.789	122.047
1999	 5	 8	12	111.265	109.770	110.770
1999	 5	 8	13	147.828	146.446	147.371
1999	 5	 8	14	164.004	163.592	163.868
1999	 5	 8	15	98.685	100.507	99.288
1999	 5	 8	16	45.849	47.268	46.318
1999	 5	 8	17	26.037	26.121	26.065
1999	 5	 8	18	17.026	17.549	17.199
1999	 5	 8	19	4.445	4.634	4.507
1999	 5	 8	20	0.000	0.000	0.000
1999	 5	 8	21	0.000	0.000	0.000
1999	 5	 8	22	0.000	0.000	0.000
1999	 5	 8	23	0.000	0.000	0.000
1999	 5	 8	24	0.000	0.000	0.000
1999	 5	 9	 1	0.000	0.000	0.000
1999	 5	 9	 2	0.000	0.000	0.000
1999	 5	 9	 3	0.000	0.000	0.000
1999	 5	 9	 4	4.664	4.437	4.589
1999	 5	 9	 5	48.683	46.855	48.079
1999	 5	 9	 6	162.808	159.751	161.797
1999	 5	 9	 7	309.790	307.556	309.052
1999	 5	 9	 8	444.842	442.254	443.986
1999	 5	 9	 9	533.126	531.514	532.593
1999	 5	 9	10	471.203	473.821	472.069
1999	 5	 9	11	580.837	575.009	578.910
1999	 5	 9	12	611.552	617.209	613.423
1999	 5	 9	13	510.990	507.750	509.918
1999	 5	 9	14	513.536	516.392	514.480
1999	 5	 9	15	412.546	416.803	413.954
