YY	MM	DD	HH	"1"	"2"	tot_average
reale_Evapotranspiration_evapotranspiration
--	--	--	--	0.6693116	0.3306884	1.0000
1999	 5	 1	 1	0.00180	0.00693	0.00349
1999	 5	 1	 2	0.00194	0.02513	0.00961
1999	 5	 1	 3	0.00202	0.02589	0.00992
1999	 5	 1	 4	0.00214	0.02650	0.01020
1999	 5	 1	 5	0.00352	0.04284	0.01652
1999	 5	 1	 6	0.00950	0.08344	0.03395
1999	 5	 1	 7	0.02113	0.11194	0.05115
1999	 5	 1	 8	0.07847	0.14344	0.09996
1999	 5	 1	 9	0.11055	0.14274	0.12120
1999	 5	 1	10	0.13229	0.15361	0.13934
1999	 5	 1	11	0.14887	0.16810	0.15523
1999	 5	 1	12	0.16703	0.17390	0.16930
1999	 5	 1	13	0.15093	0.14706	0.14965
1999	 5	 1	14	0.15886	0.15592	0.15789
1999	 5	 1	15	0.15420	0.15782	0.15540
1999	 5	 1	16	0.09845	0.10244	0.09977
1999	 5	 1	17	0.05481	0.05661	0.05541
1999	 5	 1	18	0.01792	0.01782	0.01788
1999	 5	 1	19	0.00798	0.01168	0.00920
1999	 5	 1	20	0.00749	0.01056	0.00850
1999	 5	 1	21	0.01080	0.01627	0.01261
1999	 5	 1	22	0.01613	0.02439	0.01886
1999	 5	 1	23	0.02849	0.03382	0.03026
1999	 5	 1	24	0.02702	0.03217	0.02872
1999	 5	 2	 1	0.02698	0.03091	0.02828
1999	 5	 2	 2	0.03701	0.04025	0.03808
1999	 5	 2	 3	0.03838	0.04089	0.03921
1999	 5	 2	 4	0.04054	0.04220	0.04109
1999	 5	 2	 5	0.05581	0.05773	0.05645
1999	 5	 2	 6	0.09712	0.10709	0.10042
1999	 5	 2	 7	0.13371	0.13412	0.13384
1999	 5	 2	 8	0.14914	0.14288	0.14707
1999	 5	 2	 9	0.17104	0.15860	0.16693
1999	 5	 2	10	0.19321	0.17986	0.18879
1999	 5	 2	11	0.21435	0.20099	0.20993
1999	 5	 2	12	0.20445	0.19277	0.20058
1999	 5	 2	13	0.20943	0.20223	0.20705
1999	 5	 2	14	0.19622	0.19559	0.19601
1999	 5	 2	15	0.16378	0.16699	0.16484
1999	 5	 2	16	0.11974	0.12620	0.12187
1999	 5	 2	17	0.09351	0.09967	0.09555
1999	 5	 2	18	0.06914	0.07822	0.07214
1999	 5	 2	19	0.04910	0.06476	0.05428
1999	 5	 2	20	0.04089	0.04896	0.04356
1999	 5	 2	21	0.03042	0.03628	0.03236
1999	 5	 2	22	0.02539	0.03294	0.02789
1999	 5	 2	23	0.02449	0.03303	0.02731
1999	 5	 2	24	0.02914	0.03738	0.03186
1999	 5	 3	 1	0.02830	0.03607	0.03087
1999	 5	 3	 2	0.03196	0.03946	0.03444
1999	 5	 3	 3	0.03591	0.04396	0.03857
1999	 5	 3	 4	0.04024	0.04684	0.04242
1999	 5	 3	 5	0.07337	0.07713	0.07461
1999	 5	 3	 6	0.12596	0.14346	0.13175
1999	 5	 3	 7	0.15977	0.17016	0.16320
1999	 5	 3	 8	0.21133	0.21045	0.21104
1999	 5	 3	 9	0.19749	0.19220	0.19574
1999	 5	 3	10	0.21077	0.20503	0.20887
1999	 5	 3	11	0.17599	0.17646	0.17615
1999	 5	 3	12	0.15829	0.15684	0.15781
1999	 5	 3	13	0.16697	0.16976	0.16789
1999	 5	 3	14	0.15514	0.16298	0.15773
1999	 5	 3	15	0.10413	0.10798	0.10540
1999	 5	 3	16	0.06549	0.06494	0.06531
1999	 5	 3	17	0.04301	0.04320	0.04307
1999	 5	 3	18	0.01930	0.01717	0.01859
1999	 5	 3	19	0.00311	0.00467	0.00363
1999	 5	 3	20	0.02096	0.02815	0.02334
1999	 5	 3	21	0.01959	0.02468	0.02127
1999	 5	 3	22	0.02138	0.02804	0.02358
1999	 5	 3	23	0.03623	0.04126	0.03790
1999	 5	 3	24	0.05040	0.05667	0.05247
1999	 5	 4	 1	0.05020	0.06094	0.05375
1999	 5	 4	 2	0.04189	0.05028	0.04466
1999	 5	 4	 3	0.03649	0.04506	0.03932
1999	 5	 4	 4	0.04966	0.05536	0.05154
1999	 5	 4	 5	0.08836	0.09083	0.08917
1999	 5	 4	 6	0.14627	0.15644	0.14963
1999	 5	 4	 7	0.17782	0.17825	0.17796
1999	 5	 4	 8	0.17800	0.17652	0.17751
1999	 5	 4	 9	0.18969	0.18351	0.18764
1999	 5	 4	10	0.20354	0.19559	0.20091
1999	 5	 4	11	0.23530	0.22850	0.23305
1999	 5	 4	12	0.23555	0.23348	0.23487
1999	 5	 4	13	0.22998	0.23379	0.23124
1999	 5	 4	14	0.22621	0.23291	0.22843
1999	 5	 4	15	0.19805	0.20781	0.20128
1999	 5	 4	16	0.16975	0.18324	0.17421
1999	 5	 4	17	0.15754	0.17402	0.16299
1999	 5	 4	18	0.14064	0.15758	0.14624
1999	 5	 4	19	0.11926	0.13507	0.12449
1999	 5	 4	20	0.07963	0.08512	0.08144
1999	 5	 4	21	0.05486	0.05499	0.05490
1999	 5	 4	22	0.05995	0.06020	0.06004
1999	 5	 4	23	0.06947	0.06991	0.06961
1999	 5	 4	24	0.07030	0.07097	0.07052
1999	 5	 5	 1	0.07793	0.07992	0.07859
1999	 5	 5	 2	0.07700	0.07949	0.07782
1999	 5	 5	 3	0.07893	0.07939	0.07908
1999	 5	 5	 4	0.08416	0.08281	0.08371
1999	 5	 5	 5	0.11716	0.11888	0.11773
1999	 5	 5	 6	0.17402	0.18711	0.17835
1999	 5	 5	 7	0.18952	0.19337	0.19079
1999	 5	 5	 8	0.19072	0.18833	0.18993
1999	 5	 5	 9	0.20413	0.19714	0.20182
1999	 5	 5	10	0.22574	0.21406	0.22188
1999	 5	 5	11	0.22833	0.22104	0.22592
1999	 5	 5	12	0.25171	0.25001	0.25115
1999	 5	 5	13	0.25127	0.25567	0.25272
1999	 5	 5	14	0.24457	0.25388	0.24765
1999	 5	 5	15	0.22616	0.24158	0.23126
1999	 5	 5	16	0.19003	0.20782	0.19591
1999	 5	 5	17	0.15274	0.16888	0.15808
1999	 5	 5	18	0.11626	0.13111	0.12117
1999	 5	 5	19	0.09795	0.11171	0.10250
1999	 5	 5	20	0.07240	0.07865	0.07447
1999	 5	 5	21	0.04494	0.04525	0.04504
1999	 5	 5	22	0.04387	0.04470	0.04414
1999	 5	 5	23	0.04226	0.04366	0.04272
1999	 5	 5	24	0.03678	0.04037	0.03797
1999	 5	 6	 1	0.03634	0.03932	0.03733
1999	 5	 6	 2	0.03456	0.03808	0.03573
1999	 5	 6	 3	0.03788	0.04097	0.03890
1999	 5	 6	 4	0.04236	0.04494	0.04321
1999	 5	 6	 5	0.07417	0.07570	0.07468
1999	 5	 6	 6	0.12034	0.13282	0.12447
1999	 5	 6	 7	0.15212	0.15318	0.15247
1999	 5	 6	 8	0.16883	0.16531	0.16767
1999	 5	 6	 9	0.16462	0.15962	0.16297
1999	 5	 6	10	0.15267	0.14857	0.15132
1999	 5	 6	11	0.16010	0.15461	0.15828
1999	 5	 6	12	0.16578	0.16192	0.16450
1999	 5	 6	13	0.14742	0.14893	0.14792
1999	 5	 6	14	0.12643	0.12869	0.12717
1999	 5	 6	15	0.12887	0.13335	0.13035
1999	 5	 6	16	0.11383	0.11845	0.11536
1999	 5	 6	17	0.08465	0.09146	0.08690
1999	 5	 6	18	0.05538	0.06421	0.05830
1999	 5	 6	19	0.03236	0.04116	0.03527
1999	 5	 6	20	0.01954	0.02630	0.02177
1999	 5	 6	21	0.01036	0.01430	0.01167
1999	 5	 6	22	0.01367	0.01763	0.01498
1999	 5	 6	23	0.01676	0.02055	0.01801
1999	 5	 6	24	0.02156	0.02501	0.02270
1999	 5	 7	 1	0.02031	0.02343	0.02134
1999	 5	 7	 2	0.01685	0.02031	0.01800
1999	 5	 7	 3	0.02006	0.02327	0.02112
1999	 5	 7	 4	0.02472	0.02659	0.02534
1999	 5	 7	 5	0.03842	0.04116	0.03933
1999	 5	 7	 6	0.04080	0.06099	0.04748
1999	 5	 7	 7	0.05561	0.06541	0.05885
1999	 5	 7	 8	0.03896	0.05152	0.04311
1999	 5	 7	 9	0.05244	0.05098	0.05196
1999	 5	 7	10	0.07019	0.05318	0.06457
1999	 5	 7	11	0.07527	0.05883	0.06983
1999	 5	 7	12	0.06292	0.05331	0.05974
1999	 5	 7	13	0.01457	0.05120	0.02668
1999	 5	 7	14	0.00000	0.00638	0.00211
1999	 5	 7	15	0.00002	0.00508	0.00169
1999	 5	 7	16	0.00000	0.00615	0.00203
1999	 5	 7	17	0.00011	0.00449	0.00156
1999	 5	 7	18	0.00019	0.00198	0.00078
1999	 5	 7	19	0.00000	0.00000	0.00000
1999	 5	 7	20	0.00000	0.00000	0.00000
1999	 5	 7	21	0.00000	0.00000	0.00000
1999	 5	 7	22	0.00000	0.00000	0.00000
